date,Net Sales (billions),Growth Rate
21-Jun,18.92,17%
21-May,15.59,24%
21-Apr,15.21,34%
21-Mar,18.21,18%
21-Feb,14.05,15%
21-Jan,13.64,18%
20-Dec,19.14,12%
20-Nov,15.67,15%
20-Oct,13.82,16%
20-Sep,16.84,17%
20-Aug,13.56,15%
20-Jul,13.04,14%
20-Jun,16.18,11%
20-May,12.55,8%
20-Apr,11.39,-2%
20-Mar,15.49,12%
20-Feb,12.2,11%
20-Jan,11.57,8%
19-Dec,17.04,11%
19-Nov,13.62,7%
19-Oct,11.92,7%
19-Sep,14.41,6%
19-Aug,11.79,7%
19-Jul,11.43,8%
19-Jun,14.57,8%
19-May,11.67,6%
19-Apr,11.6,7%
19-Mar,13.87,7%
19-Feb,10.72,7%
19-Jan,10.71,8%
18-Dec,15.42,8%
18-Nov,12.77,10%
18-Oct,11.16,11%
18-Sep,13.64,10%
18-Aug,11,12%
18-Jul,10.59,10%
18-Jun,13.55,12%
18-May,11.02,14%
18-Apr,10.81,13%
18-Mar,12.92,11%
18-Feb,10.21,13%
18-Jan,12.24,8%
17-Dec,14.94,14%
17-Nov,11.26,13%
17-Oct,10.02,10%
17-Sep,12.4,12%
17-Aug,9.8,10%
17-Jul,9.41,9%
17-Jun,12.17,7%
17-May,9.86,7%
17-Apr,9.42,5%
17-Mar,11.64,9%
17-Feb,8.92,8%
17-Jan,9.08,9%
16-Dec,13.07,5%
16-Nov,9.95,3%
16-Oct,9.11,4%
16-Sep,11.06,3%
16-Aug,8.9,2%
16-Jul,8.65,0%
16-Jun,11.33,3%
16-May,9.23,3%
16-Apr,8.98,3%
16-Mar,10.71,3%
16-Feb,8.28,1%
16-Jan,8.32,2%
15-Dec,12.45,3%
15-Nov,9.68,3%
15-Oct,8.78,1%
15-Sep,10.75,2%
15-Aug,8.7,-1%
15-Jul,8.64,1%
15-Jun,11.01,1%
15-May,8.98,2%
15-Apr,8.75,2%
15-Mar,10.4,0%
15-Feb,8.18,4%
15-Jan,8.16,2%
14-Dec,12.12,5%
14-Nov,9.43,7%
14-Oct,8.73,7%
14-Sep,10.57,7%
14-Aug,8.8,10%
14-Jul,8.55,9%
14-Jun,10.89,10%
14-May,8.78,8%
14-Apr,8.56,7%
14-Mar,10.43,8%
14-Feb,7.9,4%
14-Jan,7.99,6%
13-Dec,11.53,6%
13-Nov,8.78,5%
13-Oct,8.15,6%
13-Sep,9.86,6%
13-Aug,7.95,7%
13-Jul,7.87,7%
13-Jun,9.92,8%
13-May,8.13,7%
13-Apr,7.98,7%
13-Mar,9.67,7%
13-Feb,7.58,8%
13-Jan,9.35,7%
12-Dec,11.21,12%
12-Nov,8.15,9%
12-Oct,7.67,9%
12-Sep,9.31,8%
12-Aug,7.4,8%
12-Jul,7.25,8%
12-Jun,9.18,6%
12-May,7.67,7%
12-Apr,7.25,7%
12-Mar,9.13,10%
12-Feb,,
12-Jan,7,11%
